hometown_city_clean,hometown_state_clean,hometown_combined,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Aledo,TX,"Aledo, TX",9,4801744,4692,3,112975,0.1,1.9
Leesburg,GA,"Leesburg, GA",6,1345768,3407,1468,67551,43.1,1.8
Argyle,TX,"Argyle, TX",8,4803768,4336,62,149219,1.4,1.8
Cumming,GA,"Cumming, GA",12,1320932,6886,483,63438,7,1.7
Katy,TX,"Katy, TX",34,4838476,21926,2613,115250,11.9,1.6
Buford,GA,"Buford, GA",23,1311784,16811,2310,54321,13.7,1.4
Suwanee,GA,"Suwanee, GA",20,1374936,20629,3295,99022,16,1
Pahokee,FL,"Pahokee, FL",5,1253800,5504,3185,30753,57.9,0.9
Laie,HI,"Laie, HI",6,1543250,6436,28,101011,0.4,0.9
Stone Mountain,GA,"Stone Mountain, GA",5,1373816,6622,5724,44716,86.4,0.8
Louisville,MS,"Louisville, MS",5,2842280,6108,3953,34654,64.7,0.8
Pinson,AL,"Pinson, AL",5,0160648,7242,2986,70393,41.2,0.7
Loganville,GA,"Loganville, GA",10,1347196,13810,4536,72820,32.8,0.7
Richmond,TX,"Richmond, TX",8,4861892,11768,2618,52589,22.2,0.7
Naples,FL,"Naples, FL",12,1247625,19187,1001,125306,5.2,0.6
Covington,GA,"Covington, GA",9,1320064,14065,6732,43881,47.9,0.6
Fort Valley,GA,"Fort Valley, GA",5,1331096,8829,6457,30574,73.1,0.6
Trussville,AL,"Trussville, AL",12,0176944,25027,1652,108070,6.6,0.5
Kennesaw,GA,"Kennesaw, GA",16,1343192,33036,6779,73977,20.5,0.5
Marietta,GA,"Marietta, GA",28,1349756,60962,19456,62585,31.9,0.5
Tomball,TX,"Tomball, TX",6,4873316,12333,1423,65981,11.5,0.5
Cocoa,FL,"Cocoa, FL",7,1213150,18891,5557,48085,29.4,0.4
Acworth,GA,"Acworth, GA",10,1300408,22330,5333,72788,23.9,0.4
Douglasville,GA,"Douglasville, GA",13,1323900,34410,21589,61729,62.7,0.4
Lawrenceville,GA,"Lawrenceville, GA",11,1345488,30299,10728,51242,35.4,0.4
McDonough,GA,"McDonough, GA",12,1348624,28574,19780,73215,69.2,0.4
Norcross,GA,"Norcross, GA",7,1355776,17413,4436,70403,25.5,0.4
Powder Springs,GA,"Powder Springs, GA",6,1362524,16698,8961,78912,53.7,0.4
Snellville,GA,"Snellville, GA",8,1371604,20475,8175,83691,39.9,0.4
Mandeville,LA,"Mandeville, LA",5,2248225,12985,102,79149,0.8,0.4
West Monroe,LA,"West Monroe, LA",5,2280955,13103,5295,38865,40.4,0.4
Clemson,SC,"Clemson, SC",7,4514950,17238,1308,48335,7.6,0.4
Irmo,SC,"Irmo, SC",5,4535890,11581,2959,81380,25.6,0.4
Humble,TX,"Humble, TX",7,4835348,16603,3829,57522,23.1,0.4
Southlake,TX,"Southlake, TX",13,4869032,30754,245,239833,0.8,0.4
Alabaster,AL,"Alabaster, AL",9,0100820,33133,5795,83181,17.5,0.3
Anniston,AL,"Anniston, AL",6,0101852,21455,11019,39928,51.4,0.3
Fort Lauderdale,FL,"Fort Lauderdale, FL",54,1224000,182247,55073,66994,30.2,0.3
Cartersville,GA,"Cartersville, GA",6,1313688,22626,3217,62510,14.2,0.3
Conyers,GA,"Conyers, GA",5,1319336,17101,11079,47280,64.8,0.3
Fairburn,GA,"Fairburn, GA",5,1328380,16215,11628,58741,71.7,0.3
Fayetteville,GA,"Fayetteville, GA",6,1328968,18633,7265,73998,39,0.3
Ewa Beach,HI,"Ewa Beach, HI",5,1507450,14614,0,108953,0,0.3
Anderson,SC,"Anderson, SC",9,4501360,28796,9571,37439,33.2,0.3
Fort Mill,SC,"Fort Mill, SC",8,4526890,24069,2733,120665,11.4,0.3
Sumter,SC,"Sumter, SC",11,4570405,42920,20669,43051,48.2,0.3
Colleyville,TX,"Colleyville, TX",9,4815988,25827,559,180698,2.2,0.3
DeSoto,TX,"DeSoto, TX",14,4820092,55761,37459,79570,67.2,0.3
Mansfield,TX,"Mansfield, TX",19,4846452,71375,16116,105579,22.6,0.3
Missouri City,TX,"Missouri City, TX",21,4848804,73682,29891,88426,40.6,0.3
Orange,TX,"Orange, TX",6,4854132,19329,5645,58778,29.2,0.3
Highland,UT,"Highland, UT",5,4935190,18913,382,156136,2,0.3
Birmingham,AL,"Birmingham, AL",43,0107000,202234,138999,39403,68.7,0.2
Opelika,AL,"Opelika, AL",5,0157048,30810,11531,51074,37.4,0.2
Phenix City,AL,"Phenix City, AL",9,0159472,38216,17580,43296,46,0.2
Vestavia Hills,AL,"Vestavia Hills, AL",7,0178552,38504,2422,118539,6.3,0.2
Apopka,FL,"Apopka, FL",12,1201700,54110,13111,75736,24.2,0.2
Fort Pierce,FL,"Fort Pierce, FL",8,1224300,46409,20180,40323,43.5,0.2
Miami,FL,"Miami, FL",83,1245000,440807,67065,47860,15.2,0.2
Pensacola,FL,"Pensacola, FL",11,1255925,53845,13361,59119,24.8,0.2
Sarasota,FL,"Sarasota, FL",10,1264175,53786,8357,62615,15.5,0.2
Winter Garden,FL,"Winter Garden, FL",7,1278250,45978,6898,90157,15,0.2
Winter Park,FL,"Winter Park, FL",6,1278300,29672,1630,88688,5.5,0.2
Alpharetta,GA,"Alpharetta, GA",16,1301696,65187,7868,133920,12.1,0.2
Atlanta,GA,"Atlanta, GA",80,1304000,492204,237206,69164,48.2,0.2
Carrollton,GA,"Carrollton, GA",6,1313492,26773,9750,44049,36.4,0.2
Duluth,GA,"Duluth, GA",6,1324600,31506,6496,77516,20.6,0.2
Ellenwood,GA,"Ellenwood, GA",9,30294,41037,35855,69876,87.4,0.2
Gainesville,GA,"Gainesville, GA",9,1331908,41730,6793,57258,16.3,0.2
LaGrange,GA,"LaGrange, GA",6,1344340,31053,16320,37007,52.6,0.2
Milton,GA,"Milton, GA",10,1351670,40487,4722,136020,11.7,0.2
Roswell,GA,"Roswell, GA",18,1367284,92688,11565,111214,12.5,0.2
Valdosta,GA,"Valdosta, GA",9,1378800,55417,31212,35188,56.3,0.2
Woodstock,GA,"Woodstock, GA",6,1384176,33857,3329,92648,9.8,0.2
Monroe,LA,"Monroe, LA",10,2251410,48105,28717,33925,59.7,0.2
Hattiesburg,MS,"Hattiesburg, MS",9,2831020,47074,25679,38293,54.6,0.2
Madison,MS,"Madison, MS",6,2844520,27459,3865,119662,14.1,0.2
Columbia,SC,"Columbia, SC",21,4516000,137276,56180,48791,40.9,0.2
Greenville,SC,"Greenville, SC",11,4530850,69725,16197,60388,23.2,0.2
Allen,TX,"Allen, TX",16,4801924,102778,9827,118254,9.6,0.2
Cedar Hill,TX,"Cedar Hill, TX",8,4813492,48968,25491,77703,52.1,0.2
Cypress,TX,"Cypress, TX",21,77429,88375,8715,111290,9.9,0.2
Duncanville,TX,"Duncanville, TX",8,4821628,40575,12688,60666,31.3,0.2
Little Elm,TX,"Little Elm, TX",8,4843012,45124,9009,101693,20,0.2
Rockwall,TX,"Rockwall, TX",7,4862828,46150,3547,107301,7.7,0.2
American Fork,UT,"American Fork, UT",6,4901310,32822,58,82772,0.2,0.2
Draper,UT,"Draper, UT",8,4920120,49978,1060,116977,2.1,0.2
Auburn,AL,"Auburn, AL",7,0103076,74637,13288,54700,17.8,0.1
Hoover,AL,"Hoover, AL",11,0135896,91371,17562,95970,19.2,0.1
Mobile,AL,"Mobile, AL",19,0150000,187445,98468,44780,52.5,0.1
Montgomery,AL,"Montgomery, AL",22,0151000,201022,123840,49989,61.6,0.1
Tuscaloosa,AL,"Tuscaloosa, AL",10,0177256,99252,43703,44880,44,0.1
Bradenton,FL,"Bradenton, FL",6,1207950,54918,8109,50084,14.8,0.1
Fort Myers,FL,"Fort Myers, FL",10,1224125,84694,19621,51682,23.2,0.1
Gainesville,FL,"Gainesville, FL",10,1225175,138741,29581,40937,21.3,0.1
Hollywood,FL,"Hollywood, FL",10,1232000,152597,27782,56912,18.2,0.1
Jacksonville,FL,"Jacksonville, FL",50,1235000,937690,287957,58263,30.7,0.1
Kissimmee,FL,"Kissimmee, FL",10,1236950,77189,7518,41746,9.7,0.1
Lakeland,FL,"Lakeland, FL",15,1238250,110401,21980,52972,19.9,0.1
Melbourne,FL,"Melbourne, FL",10,1243975,83500,8113,55543,9.7,0.1
Ocoee,FL,"Ocoee, FL",5,1251075,46562,10202,83690,21.9,0.1
Orlando,FL,"Orlando, FL",39,1253000,302968,71207,58968,23.5,0.1
Plantation,FL,"Plantation, FL",9,1257425,92212,21206,79893,23,0.1
Pompano Beach,FL,"Pompano Beach, FL",7,1258050,111423,33402,56109,30,0.1
Sanford,FL,"Sanford, FL",8,1263650,60215,16974,55428,28.2,0.1
St. Petersburg,FL,"St. Petersburg, FL",17,1263000,258245,54181,64375,21,0.1
Sunrise,FL,"Sunrise, FL",5,1269700,96220,33561,61830,34.9,0.1
Tallahassee,FL,"Tallahassee, FL",23,1270600,195057,70614,49077,36.2,0.1
Tampa,FL,"Tampa, FL",54,1271000,380476,85287,59893,22.4,0.1
West Palm Beach,FL,"West Palm Beach, FL",10,1276600,115877,39209,56549,33.8,0.1
Columbus,GA,"Columbus, GA",11,1319000,204366,94725,50542,46.4,0.1
Rome,GA,"Rome, GA",5,1366668,37509,9409,40000,25.1,0.1
Savannah,GA,"Savannah, GA",21,1369000,147930,77441,49832,52.3,0.1
Warner Robins,GA,"Warner Robins, GA",5,1380508,79589,32432,58379,40.7,0.1
Honolulu,HI,"Honolulu, HI",21,1571550,351554,6614,76495,1.9,0.1
Ankeny,IA,"Ankeny, IA",5,1902305,66346,953,92959,1.4,0.1
Bettendorf,IA,"Bettendorf, IA",5,1906355,38631,723,89375,1.9,0.1
Cedar Rapids,IA,"Cedar Rapids, IA",9,1912000,136512,12074,63170,8.8,0.1
Iowa City,IA,"Iowa City, IA",5,1938595,74240,6203,51925,8.4,0.1
Urbandale,IA,"Urbandale, IA",5,1979950,45037,2240,100589,5,0.1
West Des Moines,IA,"West Des Moines, IA",9,1983910,67640,2611,76564,3.9,0.1
Baton Rouge,LA,"Baton Rouge, LA",23,2205000,225539,120257,46282,53.3,0.1
Lafayette,LA,"Lafayette, LA",11,2240735,122469,36659,55329,29.9,0.1
Lake Charles,LA,"Lake Charles, LA",5,2241155,83444,38576,49913,46.2,0.1
New Orleans,LA,"New Orleans, LA",39,2255000,383974,223246,45594,58.1,0.1
Jackson,MS,"Jackson, MS",9,2836000,156803,129863,39969,82.8,0.1
Tupelo,MS,"Tupelo, MS",5,2874840,37872,13948,58887,36.8,0.1
Omaha,NE,"Omaha, NE",37,3137000,488059,58430,65359,12,0.1
Hilton Head Island,SC,"Hilton Head Island, SC",5,4534045,38068,2151,87884,5.7,0.1
Myrtle Beach,SC,"Myrtle Beach, SC",5,4549075,35116,6152,45701,17.5,0.1
Rock Hill,SC,"Rock Hill, SC",8,4561405,72883,28173,55706,38.7,0.1
Arlington,TX,"Arlington, TX",34,4804000,392304,89682,65481,22.9,0.1
Austin,TX,"Austin, TX",57,4805000,944658,72829,78965,7.7,0.1
Bryan,TX,"Bryan, TX",5,4810912,85204,15381,49181,18.1,0.1
College Station,TX,"College Station, TX",9,4815976,116276,9340,50089,8,0.1
Denton,TX,"Denton, TX",15,4819972,139704,16065,65168,11.5,0.1
Flower Mound,TX,"Flower Mound, TX",10,4826232,75050,2796,145153,3.7,0.1
Frisco,TX,"Frisco, TX",26,4827684,193140,16247,134210,8.4,0.1
Grand Prairie,TX,"Grand Prairie, TX",12,4830464,195992,45734,73352,23.3,0.1
Lancaster,TX,"Lancaster, TX",6,4841212,41057,28154,59952,68.6,0.1
League City,TX,"League City, TX",7,4841980,111847,9205,112273,8.2,0.1
Longview,TX,"Longview, TX",7,4843888,81967,18221,53854,22.2,0.1
Pearland,TX,"Pearland, TX",9,4856348,122609,23848,107941,19.5,0.1
Round Rock,TX,"Round Rock, TX",8,4863500,117735,12781,86587,10.9,0.1
Spring,TX,"Spring, TX",5,4869596,62569,12133,78122,19.4,0.1
Temple,TX,"Temple, TX",6,4872176,80793,11579,56058,14.3,0.1
Texarkana,TX,"Texarkana, TX",5,4872368,36256,14113,46643,38.9,0.1
The Woodlands,TX,"The Woodlands, TX",10,4872656,115716,4865,130011,4.2,0.1
Tyler,TX,"Tyler, TX",9,4874144,104945,26216,58385,25,0.1
Waco,TX,"Waco, TX",10,4876000,136800,28598,42687,20.9,0.1
Waxahachie,TX,"Waxahachie, TX",5,4876816,39815,5305,74789,13.3,0.1
Lehi,UT,"Lehi, UT",7,4944320,73911,435,108669,0.6,0.1
Orem,UT,"Orem, UT",5,4957300,96734,621,70412,0.6,0.1
Provo,UT,"Provo, UT",7,4962470,113538,1204,53572,1.1,0.1
Salt Lake City,UT,"Salt Lake City, UT",21,4967000,199153,5452,65880,2.7,0.1
Sandy,UT,"Sandy, UT",5,4967440,96272,832,100749,0.9,0.1
South Jordan,UT,"South Jordan, UT",8,4970850,75617,362,111774,0.5,0.1
St. George,UT,"St. George, UT",7,4965330,92875,730,63604,0.8,0.1
Huntsville,AL,"Huntsville, AL",9,0137000,210081,64932,60959,30.9,0
Lehigh Acres,FL,"Lehigh Acres, FL",5,1239925,123751,23650,52894,19.1,0
Miami Gardens,FL,"Miami Gardens, FL",5,1245060,111706,74674,51067,66.8,0
Miramar,FL,"Miramar, FL",5,1245975,134306,62936,75200,46.9,0
Port St. Lucie,FL,"Port St. Lucie, FL",5,1258715,202177,36810,68647,18.2,0
Athens,GA,"Athens, GA",6,1303440,126118,35046,43466,27.8,0
Des Moines,IA,"Des Moines, IA",8,1921000,213545,23908,58444,11.2,0
Shreveport,LA,"Shreveport, LA",7,2270000,189374,107042,41782,56.5,0
Lincoln,NE,"Lincoln, NE",11,3128000,289136,11975,62566,4.1,0
Amarillo,TX,"Amarillo, TX",5,4803000,200371,14273,55174,7.1,0
Dallas,TX,"Dallas, TX",62,4819000,1300239,312696,58231,24,0
Fort Worth,TX,"Fort Worth, TX",29,4827000,908469,170378,67927,18.8,0
Garland,TX,"Garland, TX",7,4829000,245075,36838,65278,15,0
Houston,TX,"Houston, TX",106,4835000,2293288,517944,56019,22.6,0
Killeen,TX,"Killeen, TX",7,4839148,150082,58450,52072,38.9,0
Lubbock,TX,"Lubbock, TX",12,4845000,255537,20729,54060,8.1,0
McKinney,TX,"McKinney, TX",7,4845744,189394,22513,106437,11.9,0
Mesquite,TX,"Mesquite, TX",5,4847892,149848,35316,63706,23.6,0
Plano,TX,"Plano, TX",6,4858016,282181,24292,99729,8.6,0
San Antonio,TX,"San Antonio, TX",18,4865000,1434540,93565,55084,6.5,0
Wichita Falls,TX,"Wichita Falls, TX",5,4879000,102563,13056,50856,12.7,0
