Name,Position,Class,Hometown,High School
Neeo Avery,LB,Fr.,"Glen Burnie, MD",Good Counsel
Tyrese Chambers,WR,Gr.,"Baltimore, MD",Baltimore Poly
Jaishawn Barham,LB,So.,"District Heights, MD",St. Frances Academy
Kaden Prather,WR,Jr.,"Montgomery Village, MD",Northwest
Beau Brade,DB,Sr.,"Clarksville, MD",River Hill
Corey Dyches,TE,R-Jr.,"Oxon Hill, MD",Potomac
Ja'Quan Sheppard,DB,Sr.,"Zephyrhills, FL",Zephyrhills
Taulia Tagovailoa,QB,R-Sr.,"Ewa Beach, HI",Thompson
Shaleak Knotts,WR,So.,"Monroe, NC",Monroe
Tarheeb Still,DB,Sr.,"Sicklerville, NJ",Timber Creek Regional
Quashon Fuller,DL,R-Jr.,"Fort Myers, FL",Lehigh Senior
Octavian Smith Jr.,WR,So.,"Burtonsville, MD",Paint Branch
Corey Coley Jr.,DB,Jr.,"Jacksonville, FL",Trinity Christian Academy
Jeshaun Jones,WR,Gr.,"Fort Myers, FL",South Fort Myers
Tommy Akingbesote,DL,Jr.,"Largo, MD",Charles Herbert Flowers
Antwain  Littleton II,RB,R-So.,"Greenbelt, MD",St. John’s College
Ramon Brown,RB,So.,"Richmond, VA",Manchester
Jordan Phillips,DL,R-Fr.,"Ocoee, FL",Ocoee
Billy Edwards Jr.,QB,R-So.,"Springfield, VA",Lake Braddock
Fa'Najae Gotay,LB,R-Sr.,"Fort Myers, FL",North Fort Myers
Tai Felton,WR,Jr.,"Ashburn, VA",Stone Bridge
Ruben Hyppolite II,LB,Sr.,"Fort Lauderdale, Fla.",McArthur
Ryan Manning,WR,Fr.,"Glenn Dale, MD",St. Frances Academy
Cameron Edge,QB,R-Fr.,"Clayton, DE",Smyrna
Dante Trader Jr.,DB,Jr.,"Delmar, DE",McDonogh
Glendon Miller,DB,R-Jr.,"Orange Park, FL",Ridgeview
Jayden Sauray,QB,R-Fr.,"Lanham, MD",Wise
Tamarcus Cooley,DB,Fr.,"Knightdale, NC",Rolesville
Champ Long,QB,Fr.,"Jersey City, NJ",St. Peters Prep
Riyad Wilmot,LB,R-Jr.,"Ft. Lauderdale, FL",St. Thomas Aquinas
Leon Haughton Jr.,WR,So.,"Richmond, VA",Benedictine College Prep
Daniel Wingate,LB,Fr.,"Bowie, MD",St. Vincent Pallotti
Rico Walker,TE,Fr.,"Hickory, NC",Hickory
Lionell Whitaker,DB,So.,"Miami, FL",Rickards
Alex Moore,DB,Fr.,"Beltsville, MD",St. Vincent Pallotti
Dylan Wade,TE,Fr.,"Ocoee, FL",Jones
Donnell Brown,DL,Jr.,"Upper Marlboro, MD",Riverdale Baptist
Braeden Wisloski,WR,Fr.,"Elysburg, PA",Southern Columbia Area
Perry Fisher,DB,R-Fr.,"Tallahassee, FL",Lincoln
Gereme Spraggins,LB,Sr.,"Baltimore, MD",Arundel
Sean Williams,WR,Fr.,"Washington, DC",St. John's College
Ezekiel Avit,WR,Fr.,"Potomac, MD",Churchill
Sean Greeley,LB,Sr.,"Havre de Grace, MD",Havre de Grace
Colby McDonald,RB,Jr.,"Accokeek, MD",St. John’s College
Avantae Williams,DB,Jr.,"Deland, FL",Deland
Chantz Harley,DB,R-So.,"Upper Marlboro, MD",Landon School
Roman Hemby,RB,R-So.,"Edgewood, MD",John Carroll
Nolan Ray,RB,Fr.,"Southfield, MI",Brother Rice
Kevis Thomas,DB,Fr.,"Perry, FL",Lowndes
Ricardo Cooper Jr.,WR,Fr.,"Baltimore, MD",Calvert Hall
Gavin Gibson,DB,So.,"Hickory, NC",William Amos Hough
Caleb Atogho,DB,So.,"Baltimore, MD",Franklin
Eli Mason,RB,So.,"Ashburn, VA",Stone Bridge
Taylor Best,WR,Fr.,"Chevy Chase, MD",Landon School
Ian Maloney,LB,R-So.,"Belle Vernon, PA",Belle Vernon Area
J'Mar Branion,DB,Fr.,"Durham, NC",Avon Old Farms
Michael Harris,LB,Fr.,"Apopka, FL",Lake Brantley
Mykel Morman,DB,Fr.,"District Heights, MD",Wise
Tayvon Nelson,DB,Fr.,"Staten Island, NY",Canarsie
Lavain Scruggs,DB,R-Fr.,"Baltimore, MD",Archbishop Spalding
Kobi Thomas,LB,Sr.,"Largo, MD",DeMatha Catholic
Karon Ball,DB,Jr.,"Baltimore, MD",Towson
Alec Hughes,WR,Fr.,"Round Hill, VA",Woodgrove
Parker Jones,WR,Fr.,"Baltimore, MD",Boys Latin
Carson Petitbon,DB,Fr.,"Annapolis, MD",St. Mary's
Jaiden Fair,WR,Fr.,"Stafford, VA",Mountain View
Daniel Owens,DL,R-Fr.,"Pikesville, MD",Calvert Hall
Taizse Johnson,DL,Jr.,"District Heights, MD",St. John’s College
Rex Fleming,DB,Sr.,"Owings, MD",Northern
DJ Samuels,LB,Fr.,"Englewood, NJ",Bergen Catholic
Jonathan  Akins,DB,Fr.,"Madison, FL",Madison County
Brenden Segovia,P,R-So.,"Los Angeles, CA",Oaks Christian School
Caleb Wheatland,LB,So.,"Centreville, VA",Avalon School
Jake Foggia,LS,R-Jr.,"West Long Branch, NJ",Red Bank Catholic
Kellan Wyatt,LB,So.,"Glen Burnie, MD",Archbishop Spalding
Dillan Fontus,DL,Fr.,"Averne, NY",Canarsie
Sebastian Antoine-Pompey,DB,Fr.,"Mitchellville, MD",Fork Union Military Academy
Maxwell Brown,TE,R-So.,"Olney, MD",Sherwood
Darius  Grimes,LB,Fr.,"Upper Marlboro, MD",Frederick Douglass HS
Thomas McCluskey,TE,Fr.,"New Fairfield, CT",Cheshire Academy
Chris Wells,DB,Fr.,"Washington, DC",Landon
David DeGuzman,WR,So.,"Lusby, MD",Patuxent
Corey Bullock,OL,Sr.,"Accokeek, MD",Gwynn Park
Dylan Gooden,LB,Fr.,"Columbia, MD",Good Counsel
Mike Purcell,OL,Gr.,"Dayton, OH",Centerville
John Stretch II,LS,Fr.,"Palmyra, PA",Palmyra Area
Deandre Duffus,OL,Fr.,"Hollywood, FL",Chaminade-Madonna Prep
Andre Roye Jr.,OL,R-Fr.,"District Heights, MD",St. Frances Academy
Tamarus Walker,OL,Fr.,"Baltimore, MD",McDonogh
Isaac Bunyun,DL,R-Jr.,"Accra, Ghana",High Point
Ja'Kavion  Nonar,OL,R-Fr.,"Belle Glade, FL",Everglades Prep Academy
Marcus Dumervil,OL,R-Jr.,"Lauderdale Lakes, FL",St. Thomas Aquinas
Ethan Gough,LS,R-So.,"Owings, MD",DeMatha Catholic
Khristopher Love,OL,R-Jr.,"Miami Gardens, FL",American Heritage
Billy Molloy,OL,Fr.,"Washington, DC",Georgetown Prep
Aric Harris,OL,Sr.,"Pensacola, FL",Escambia
Amelio Morán,OL,R-Sr.,"Virginia Beach, VA",Princess Anne
Gottlieb Ayedze,OL,Sr.,"Germantown, MD",Northwest
Delmar Glaze,OL,R-Jr.,"Charlotte, NC",West Mecklenburg
Conor Fagan,OL,R-Jr.,"Clarksburg, MD",Gonzaga College
Kyle Long,OL,R-So.,"St. Louis, MO",Hazelwood Central
Kevin Kalonji,OL,Jr.,"Kinshasa, Congo",The Avalon School
Tyler Baruch,WR,Fr.,"Ellicott City, MD",Howard
Leron Husbands,TE,R-So.,"Seat Pleasant, MD",Archbishop Carroll
Joshua Jennings,TE,So.,"Frederick, MD",Good Counsel
Preston Howard,TE,R-Fr.,"Arbutus, MD",McDonogh
Josh Richards,WR,Fr.,"East Orange, NJ",East Orange Campus
Robert Smith,WR,R-So.,"Houston, TX",Strake Jesuit College Preparatory
Khalid  Jones,WR,R-So.,"Clarksburg, MD",Quince Orchard
AJ Szymanski,TE,Fr.,"Timonium, MD",Loyola Blakefield
Lavon Johnson,DL,Fr.,"Allentown, PA",Cheshire Academy
Jack Howes,K/P,R-So.,"Orlando, FL",Edgewater
Christian Teague,DL,Sr.,"Hagerstown, MD",North Hagerstown
Tre Colbert,DL,Gr.,"Temple, TX",Temple
Evan Johnson,K,Sr.,"Holt, MI",Holt
Colton Spangler,P,Sr.,"Pasadena, MD",Chesapeake
